comments,polarity,gender
Bassi bhai love from meerut watching it 3rd time,positive,0
many times watching this always likes awesome ??,positive,0
I want to be an exam teacher of such class??,neutral,0
Time to rewatch it 30th time????,positive,0
"Je ganje wala joke agar kisi muslim comedian ne kia hota then things must be different
Sufficient to analyse where we are leading to",neutral,0
I have many of my school and friends stories which is incredible and i am 100% sure these stories will bring revolution in standup comedy but I have no experience to make such videos ????,positive,0
Anyone here 2022,neutral,0
Last one was so funny ??????,positive,0
"70 million , wow road to 100",positive,0
What is this ocb??,neutral,0
"Wtf , why English title if that is not English , feels like watching Bollywood",negative,0
Reality and relive with humor,positive,0
"Tomorrow is my engineering mathematics exam and it's 3am midnight , god bless me",neutral,0
He is magician,positive,0
"His speaking style brings me here again and again , you will agree he has more humour in his style and body language than jokes , he knows the magic to make simple words the highest joke . love from pakistan",positive,0
"He should not make fun of shive g though i m a muslim from pakistan but one should respect religion , doesnt matter even if he belongs to same religion",negative,0
I can relate my hostel life and other,positive,0
Still not bored!!!!,positive,0
Becoz it's not false ??????,neutral,0
New video???,neutral,0
Addicted to this ??,positive,0
Watching bassi all video once in day and very line learn step by step in my life i never seen this type video,positive,0
Third time ??????,positive,0
I watch this video atmost 20 times.,positive,0
Teacher table bhi gilani hoti h????????????,neutral,0
"""69'' Million Views",neutral,0
10th time,positive,0
Feeling proud I am from meerut...????,positive,0
How many times I watch this video it is always fun to watch ????,neutral,0
"Shiv ji wala joke h .. y no one is getting offended...isko koi kuch kyu nhi bolra .. 
Sahi kaha h Indians Hippocrates hote h ??",negative,0
I can't stop laughing.,positive,0
"https://youtu.be/FomzG3Cp__Q

Lag Ja Gale Se | Cover | Arpan",neutral,0
What does OCB mean?,neutral,0
congratulations for 69 million views,positive,0
"Legends watching thiz video 2022??
 Are u agree???",neutral,0
Fun Fact: This is not your first time watching this video.??,positive,0
I'm watching this video with my dad ????,neutral,0
Lol this video has 69m views??????,positive,0
Stand up comedy bahut din se search kar rha tha lekin video aaj mila hai ??,positive,0
15th time????,positive,0
Funfact : it was a recommendation,neutral,0
Mind blowing,positive,0
Fun fact :- He is just trolling Reservation system ??????????,neutral,0
Idk how many times I have watched his videos. Everytime I enjoy a lot. Big fan of Bassi from Bangladesh!?,positive,0
First thing lord Shiva dosent smoke,neutral,0
Ye stand up comedy thi? Aur itne views? Logon ka taste hi khatam ho gya hai kya?,negative,0
This must be yours more than 2 times ??,positive,0
*OSM stand-up comedy* ????,positive,0
69 million views??????,neutral,0
Oohh come on guys shivji bhagwan never gets ganja its totally fake ????,negative,0
watching this again n again to overcome stress.. tru stressbuster??,positive,0
Watching it at 69 million views at 3.69 million subs so just waiting for 100 million and 5 million sub,positive,0
Literally i am here more than 10times.??????,positive,0
"Why are making fun of hindu god 
Shivji that is not cool",negative,0
It has currently 69M views..i can proudly say am watching it from 100k??,neutral,0
Please don't make comedy on our gods,negative,0
Imagine if he keep making these videos,negative,0
I'm big fan of you but you got a joke on shivji Sham on you ????????,negative,0
Don't dare to mock Hinduism next time .,negative,0
How Gujar and Jaat be OBC???????,negative,0
Bhai apke idea se mere frnds or me sb paas ho gay,neutral,0
"Watched it for 30 to 40 times ... 
Everytime it feels laughable ????",positive,0
I watched this video 100 times and i always seems this as a new,positive,0
"I am sitting on a desk in a co-work, wearing headphones and listening to you, laughing so hard that all other startups are now intrigued what am I looking at? I can say, I have contributed to at least 500 views today.",positive,0
"Bhai, Shivji ganja nhi fukte. In no scripture will you see any such description. Shivji is the most compassionate towards all living entities.",neutral,0
Maine phuka semester khtm hogya epic scene ??????,positive,0
3 years with 69 M,positive,0
this was fkn hilarious,positive,0
69 million views....congratulations buddy,positive,0
Amitabh Bachchan of Comedy. Bilkul real. we want more Videos Bassi bhai.,positive,0
wow 69 million views INTERESTING,positive,0
What means of ocb?,neutral,0
"I am too jaat and also from Meerut ????and my father is also advocate 
Whattt?? Isn't it funny??",neutral,0
Last line was awesome when he said chaman chutiye teachers table bhi hilani hoti hai ??????,positive,0
What does he mean by OBC to OCB?,neutral,0
Ohhh its been 3 years??,positive,0
now I'm 31th time watching this video,positive,0
I watch his videos daily before sleeping his videos never gets old...appreciation from ????,positive,0
He is lucky because jats are obc only in up state list and general in central general.????,negative,0
"Tomorrow is my exam.
Was very stressed and then  I thought that I should watch this. 
So I am here again
Bassiii??????",neutral,0
What's OCB?? 2:10,neutral,0
5th time I am watching the video ????????,positive,0
I thought cheating in other way,neutral,0
Pov : You're here for Abdul,neutral,0
Love u from Meerut,positive,0
"Agar YouTube nahi hota to itna mast comedy kuchh hi logo tak mehdood rehti 
Thanks to YouTube and the Mannn BASSI",positive,0
Best ever standup comedian,positive,0
Why the f u need a hindi subtitles for a hindi stand up?? we  too need to understand it man,negative,0
Can someone explain 2:10 joke? Please,neutral,0
Me first time stand up comedy dekh raha hu inka aor life me v ??,neutral,0
"Kisne kaha ki SHIV JI GANJHA FUUKTE THE????, TUM JAISE LOG SIRF HINDI DHARM KA MJAAK BANAATE HO,SHIV JI NE TOH JEHER PIYA THA PEEKAR DIKHAO KOI, AB YAHA DOGLE MERE COMMENT PAR COMMENT NA KARE OR APNA GYAAN APNE PAS RAKHE??, 
COMEDY THEEK HAI PAR BAKWAS NAHI",negative,0
What is the meaning of OCB ??,neutral,0
Being 14 watching this is illegal.,negative,0
"Just incredible Talent Bhaiya
God bless you ???????? Bhaiya",positive,0
Is it just me who watched it soo many times that I know exactly the next line he's abt to speak but laugh hilariously all the same....,positive,0
jiski selection obc mein na ho woh aisa insan jise humare indians famous kr detee,positive,0
tum nahi tum jese saare chutiye nikalte hai naa woh obc ...thats y we are suffereing  from this society,negative,0
Ye bnda password bhul jata h apne YouTube account ka ??video hi nhi dal rha h bhes ki ankh ??,negative,0
Aakash Gupta you are the best...,positive,0
OCB ? means,neutral,0
i will also go to nlu,neutral,0
7:02 this is epic ????,positive,0
"Watching this video numerous times.. Again and again and again..
Every time it feels new and fresh.. Don't know why.. Bassi is brilliant ??",positive,0
Today one more time I'm watching your video,positive,0
Ha bhai JEE Mains Wale Depressed ho? ????????,neutral,0
How many times Ive  watched this clip in actually forgot the count.,positive,0
Watching this today 10th time!,positive,0
Where is comedy in the show ??,negative,0
New video kb ayegi,negative,0
Watching it for like 9 or 10th time and here i am still laughing like a crazy person!! #basskarbassi !!! ????,positive,0
this is my first stand up video0000????,neutral,0
FUN FACT : This not your 1st time watching this video,positive,0
"Bro i watched and enjoyed your video but don't relate shiv ji with ganja,shiv ji drink whole venom for universe thats why we put only bhang and dhatura on shiv ji not ganja.????big fan ur comedy",neutral,0
Fun Fact2: This is not your second time watches this video.. ??,positive,0
1:49 isn't it the religious joke.,negative,0
Ye jo standup comedian hote h ye sacchi Nasha krte h?? Like ganja and all??,negative,0
Chaman chutiya best ????,positive,0
""""""""" ONE OF THE BEST THING ABOUT THIS DUDE IS HE NEVER TAKES THE CREDIT OF WHAT HE DOES AND ALWAYS GIVE IT TO OTHERS """"""""""""",neutral,0
Therapy,negative,0
This guy is really smart and funny. High repeat value ?? May be rehearsed but makes it look totally spontaneous! The National Law College mustve done a few somersaults watching this though Im sure they took it with loads of salt????,positive,0
Love you bro from Pakistan,positive,0
Seriously cant stop laughing,positive,0
Sir waiting for your jaipur shows ticket done just wait for #Baskarbakchodbassi????,positive,0
My class teacher told my class to watch this one ????,neutral,0
Do enjoy but don't include lord Shiva in diz kind of laughs...,neutral,0
Best ever comidian,positive,0
On of the most classic and best thing i have heared :) mazza agya,positive,0
???? very comedy ????,positive,0
Only legend watching 2022 ??,neutral,0
He is making fun of our god and others are laughing ??,negative,0
Bro its my 5 th time I am watching this vidio and its always laugh me,positive,0
I already know what he will say. I am still laughing so hard,positive,0
Everything is Ok But why the hell is he insulting our Hindu Gods/Religion,negative,0
itne to or sb stand up comedian k milakr views nhi h 50 - 60 video m or bassi sir k 4 video m hi itne views,neutral,0
Awesome to see you live. Current show to upload by October in YouTube,neutral,0
"learn. chess like never before...bring. order to your game....systematic chess
https://www.youtube.com/watch?v=BPHx9aHPEa8&list=PUf0sMmHoYtSz712IncNDd2Q",neutral,0
This is the first standup comedy I ever enjoyed????,positive,0
May be 10th time I'm here...????,positive,0
Sad that I can click on the like button only once.. Kb bhi ye video dekhne bad like karne javo already like click kiya hota he.,positive,0
Bhai 4th time Dekh rha hu ye video and still ??????????,positive,0
2:10 what is ocb,neutral,0
6th time,positive,0
I'm also from meerut,neutral,0
"The fact: He subtly destroyed reservation system in the comedic sense ????????????..
And made a mockery of it without creating a stir, that's comedy. 
You raise issue and create awareness. 
Satire at his own behest. 
Respect!",neutral,0
I believe hes Indias best stand up comedian by far,positive,0
"Bassi bhaiya channel ka password bhul gye ho kyy ??
Bassi bhaiya channel ka password bhul gye ho kyy ??
Bassi bhaiya channel ka password bhul gye ho kyy ??
Bassi bhaiya channel ka password bhul gye ho kyy ??
Bassi bhaiya channel ka password bhul gye ho kyy ??
Bassi bhaiya channel ka password bhul gye ho kyy ??
Bassi bhaiya channel ka password bhul gye ho kyy ??
Bassi bhaiya channel ka password bhul gye ho kyy ??
Bassi bhaiya channel ka password bhul gye ho kyy ??
Bassi bhaiya channel ka password bhul gye ho kyy ??
Bassi bhaiya channel ka password bhul gye ho kyy ??
Bassi bhaiya channel ka password bhul gye ho kyy ??
Bassi bhaiya channel ka password bhul gye ho kyy ??
Bassi bhaiya channel ka password bhul gye ho kyy ??
Bassi bhaiya channel ka password bhul gye ho kyy ??
Bassi bhaiya channel ka password bhul gye ho kyy ??
Bassi bhaiya channel ka password bhul gye ho kyy ??
Bassi bhaiya channel ka password bhul gye ho kyy ??
Bassi bhaiya channel ka password bhul gye ho kyy ??
Bassi bhaiya channel ka password bhul gye ho kyy ??",negative,0
Bhai NXT video kb a rhe h,negative,0
The last line was epic,positive,0
op teachers table bhi hilani hoti hai??,neutral,0
Mind blowing,positive,0
"If hindu usesHindu gods name as a joke no issue,
if muslims uses then it is an national issue.",negative,0
I loved this one. Please share more videos like this. eagerly waiting for your new video,positive,0
Watched this for many time he is great yr????,positive,0
Your stand up comedy is so amazing but including hindu gods is not good.,negative,0
The fact I see his video again and again is tht I don't remember his story intentionally,neutral,0
Video is good but you ar insulting lord shiva correct it,negative,0
Me watching this video one before the exam ????,neutral,0
Disrespecting Hindu god is the part of your comedy???????,negative,0
Watch repeat and repeat,positive,0
Baaki sub theek h bhaie but shiv ji k naam pr comedy mut kero ????,negative,0
Fun Fact - it is not your first time,positive,0
Shiva is lord dont make fun on lord shiva,neutral,0
Very nice man,positive,0
I m watching this video 27th time..,positive,0
I know you are not watching this 1st time.. because its my 5th time :D,positive,0
Eagerly awaiting for the next one.... ??,positive,0
"whenever I watch his standup comedy videos literally the same smile on my face !!???? 

*Man ur such a great comedy king* ??",positive,0
Who have watched more than once ??,positive,0
Bassi bhaiya Club in the house ??,negative,0
"0:15
Bhai dekho sabko lagta h shiv ji karte h nashe hamesh aisa nhi h  ,
I am telling you context of shivji & substance realtion;
.
.
SAMUDRA MANTHAN k baad shiv ji ne vudh Piya tha jis wajah se unke body mein heat bahut bhadne lagi thi jis wajah se normal rehne par pain experience ho raha tha toh unko thoda unconscious karne k liye jisse dard par unka dhyaan na jaaye isliye unko BHANG aur substance diya gaya tha .
.
.
.
SHIV JI IS IDEAL OF BEIN POWERFUL ,
unse hi seekh milti h kapdo se farak nhi padta , POWER se hi hota h ;
for eg he used to do meditation toh shamshan mein bhi rehte the lekin jab PAARVATI MAA ne kaha unko Ghar chaiye toh POORA SONE KI LANKA banwadiye the SHIV JI .
HAR HAR MAHADEV ????????",positive,0
What is ocb,neutral,0
I m sure you are watching this video 3rd time,positive,0
This is the best,positive,0
Fuck the Teacher's table ??????,neutral,0
Bhai waiting for your next video very existed yaar????,positive,0
Why insult Hinduism?,negative,0
Watched more than 50times and relatable ??,positive,0
Was a Fan of Akash Gupta and Abhishek Upmanyu and now him.,positive,0
Watching this video 5th time ??,positive,0
"I felt really low today, this was the only place where i could feel better",positive,0
"True.Why?
Because it is not false????",neutral,0
M also meerut....love alot from meerut,positive,0
Ocb meaning?,neutral,0
Same here first point,negative,0
Mindblowing,positive,0
Don't use god name for ur jokes ????,negative,0
"Bhai shivji ke bare Jo bola hai utna hi part delete kardo vo joke funny bhi nahi hai vo insult hai. Please as hindu and follower of lord Shiva, humble request to you please ????.",negative,0
Another fun fact : First time you saw his any video and imagined all the scenes are permanent in your  memory for the next time.,positive,0
Still Watching in 2022,positive,0
"Wo chhap gya...... Hehehe
Chappal pe........ Hehehe
Wo bhi ulta....... Hehehe
????????",positive,0
29th time watching?????,positive,0
Techeres table bhi hilani hoti he was epic ??????????,positive,0
Watching 5th time ??,positive,0
Best comedian,positive,0
Fun fact:- This is not your first and last time watching this video ??,positive,0
Gf ko pasand laughter club,neutral,0
This is my all time fav stand up ??,positive,0
U insult shiv ji in your video ??,negative,0
I am also watching this so many time,positive,0
Mind blowing,positive,0
Meerut ??Me too,neutral,0
"This is beyond stand-up,  insane level.",positive,0
I Have Really Watched this video more than 6 times,positive,0
What is ocb,neutral,0
67 million views congratulations ??,positive,0
i was to able to drink water watching his video water goes in mouth and came out with a lafter hats off to u bro???,positive,0
"bhyi tumhare yha ""if true why"" chalta h, hamare yha ""if false, why, state the correct statement"" chalta h",neutral,0
4 videos 3 million subscribers? Howwwwwwwww??????????,positive,0
"Repeatedly watching this video.
Everytime I love it more than before ??",positive,0
When will u back with such amazing jokes???,neutral,0
Lol fukin wrong...it's 1st time,positive,0
Dont Make Fun with god your best comedian dont be like munawar faruqi..,negative,0
I watch this whenever i  feel depressed about studies ????????,positive,0
.. Please make some more videos ..of your experiences ...  Bassi sir,positive,0
Almost A Year Passed..And I Listen To This Every Night!! Awesome Stand Up????,positive,0
WHAT IS THE MEANING OF OCB ????,neutral,0
That's my 11 time love you Bassi??,positive,0
"plz release your more comedy videos ,,, im waiting here.",positive,0
This is my 41 Times watch,positive,0
Legends watching this one day before exam ??,neutral,0
No matter how many times you watch this ..there is always something new to laugh about . Absolutely love his delivery.,positive,0
3 years still cackling .,positive,0
I'm watching this 10 time,positive,0
"We can nominate Abdul as the next president of india , if he become the president no water cooler will be harm and every student will be passed ??",neutral,0
He is the best stand up comedian,positive,0
That bhagwan Shiv ji part is not funny at all..,negative,0
Fun fact : watching it for 100th time fr????,positive,0
Here we go again  in 2022,positive,0
watched it more than 10 times. whenever sad its the laughter dose.,positive,0
watched it more than 10 times. whenever sad its the laughter dose.,positive,0
No matter how many time u watch it....amount of laughter will b same ???? Bassi is amazing!!!,positive,0
No matter how many time u watch it....amount of laughter will b same ???? Bassi is amazing!!!,positive,0
He is a comedian + narrator.... I was imagining all this jokes... ?? That's his talent..,positive,0
He is a comedian + narrator.... I was imagining all this jokes... ?? That's his talent..,positive,0
I told my parents I want to be a stand-up comedian. They started laughing.,neutral,0
Fun Fact: This is not your first time watching this video.??,positive,0
Great and beautiful. Keep it up Sir.,positive,0
What is OCB?,neutral,0
"When ever I feel low ,I start watching his video",positive,0
Waiting for new vedio chaman chu^^??,negative,0
Fact : you were searching for a some other standup comedy but saw this and forget about what u were actually gonna watch,neutral,0
"Don't know how many times watching this..... By the way, I am a lawyer ????",positive,0
"???????
Funny roast of very emotional?? and sasta army officer video- https://youtube.com/shorts/i3wDxZymwSY?feature=share",negative,0
Bro what a IQ level and your content and your telling style Osm,positive,0
Actually this is my first time watching this vid,neutral,0
Gogo better than ocb ??,neutral,0
Fun fact :  even you got to know that 6 answers are true you can score 6/10,neutral,0
New video...???..??????....,neutral,0
Watch this video for 12th time??,positive,0
Only 4 video and 35 lakh followers with million of views. He is Legend.,positive,0
I'm watching this video 5 times?????? I'm laughing so lots??,positive,0
What is obc se ocb. Ocb kya hota hai,neutral,0
Sad but true:This is not ur first time watching this,negative,0
?????????????? first time I watched this can't believe itna anzing ?? regretting pehle kyu nhi dekhi,positive,0
90% of the comments be like:- he never disappoints us to laugh and he never disappoints us ??.,neutral,0
Anyone from June 2022????,neutral,0
This is my 69th time watching this??,positive,0
It's not your second time watching this video either ??,positive,0
I watched this 7 times,positive,0
what is OCB,neutral,0
malining shivji for ganja. Shame on u bassi and people laughing on that joke implies that we as a hindu make fun of our god only.,negative,0
Its too good bhai,positive,0
All time best comedy,positive,0
your presence just hit hard all the intense situation vanish,positive,0
Watching third time,positive,0
Comedy nice,positive,0
Who all watching this in 2022?,positive,0
"??????????
One of the best ever standup comedy",positive,0
Daily Attendance Check???,neutral,0
All his comedians are next level ????,positive,0
You are next level bro but pls don't make fun of Hindus lord shiva..,neutral,0
sad fact:tomorrow is my board and im here??,neutral,0
You are god of comedy . Trust me,positive,0
"Let's clear it out how many times we have to watch this stand up 
Me: twice a month",positive,0
"What the hell ....un necessary laughing


.didn't laugh for a single second in video",negative,0
???????????????????????????????????????????????????????????????????????? from nepal ????????????????,positive,0
Why new video not coming,negative,0
Bassi sir you are the great Standup comedian.. Always be blessed Sir ????,positive,0
Bassi bhai you are my favourite ???????? aap to no 1 ho ????,positive,0
When is your next video coming waiting eagerly ???????????,negative,0
"4 videos 3.58m subscribers 
Its not joke bro??????????",positive,0
A year I was seen its 7 time's,positive,0
"2010* No Smartphones, No Instagram, No Arijit Singh
Still Me & My Homies vibe on Dil Ibadat on Nokia keypad phone ???",neutral,0
"*Not the First time,firse aa gaya bc* ??",positive,0
Vedant Rusty khush hogya,neutral,0
Still same excitement after 3 years of rigorous watching??.,positive,0
The best stand up comedy I have ever seen,positive,0
"Five year's ago gaav mai log jise gppi kahate the use aaj log stand up comedian kahte hai
Dont take it personally its true",negative,0
May 2022 me bhi yha aate ho to hit like,positive,0
"you are Jaat right? and then you got quota of OBC 
How?? Bro I'm literally confused",negative,0
Who is not first time,positive,0
Where r u now... Bahut kam stand up hain apke... We want more,neutral,0
?? everyone knows bassi is amazing ??,positive,0
"Yes, after 5 months I am watching it again ????",positive,0
Haaaaaa this is the best funniest video of YouTube ??????,positive,0
"cheating,class room is my fav vdo",positive,0
Waiting for the next video ???,positive,0
100th time,positive,0
Super comedy,positive,0
"Don't make fun on my God pleasee
????????",neutral,0
Fun fact I am watching it right before my exam??,neutral,0
"Watching it the _ time. 

I lost count ?? 

Best line "" le le lo karlo cheating "" ??????",positive,0
"Hello brother ..  Your stand up is very nice and comedy .. But .......
You said shivji nasha karte hai ..  That is not true at all , Shivji ne halahal vish piya tha, koi gaanja nahi ... Ye shivji ke nam par gaanja pine ka matter bohot he ganda hai..  It should be stop",neutral,0
more than 10times????????,positive,0
Watching till now??,positive,0
One my fvrt video ???? ?????????????????????????????????????????????????? watched it many tyms ????????????,positive,0
Like who is watching 3 time????,positive,0
39th time watching ??,positive,0
Sir i think you forget that you're having a channel on YouTube... ??,neutral,0
"Mere pyare bade bhai bassi k liye ... uP Meerut k liye  5/5 ratings ..... 
??. ????? ???? ?? ?? ??? ?? ???? ??? ???? - ??????? ????? ?????? ????????? ??

Ye beat tha ????? ???? ?? ??? - ???? ??? ?? ??? ??? ?? ??????#bassibhai",positive,0
"Abdul in Bassi Comedy
Bhura in Munawar' s Comedy has Different fan base??",neutral,0
"I think you watch it 2nd time, am right ??",positive,0
"Hey you, yes you who is watching this, I'm asking you, 
Ever wondered Why there's so much suffering in this world? And Why do we die?

Suffering is because of Sin, once sin is ?? suffering will also be ??
This is the proof of sin in each one of us, check yourself out:
Ever Lied?
Ever Disrespected Parents?
Ever Got angry on people?(anger=murder)
Ever Stolen?
Ever Lusted after someone?(lust=adultery)

Because Everyone has sinned against God and became worthy of death(?Rom 6:23) but God being a Loving Father sent His only beloved Son for us on the Cross?? to be Sacrificed as a ransom for our sins(We committed crime, Jesus paid fine ?John 3:16). And now whoever believes and accepts Jesus as his Lord and Saviour, he/she is granted freedom from sin, Everlasting life, peace?, love? and joy?? and a relationship with the Eternal God. (?Acts 3:19",neutral,0
Mind-blowing,positive,0
"A real gem are your videos., just keep watching them on repeat after certain intervals and find it so funny ki,
""haste haste pet dard ho gaya!""
Awesome bri, just love your limited but quality content.
eagerly waiting for next videos, but aap ho ki video daalke an dete.
Please naya video dalo bhaiya!
likes to yu badh jayenge usmein!!!
Love you bhaiya,
Love from West Bengal...",positive,0
I was the guy who told jaat,neutral,0
6th time ??,positive,0
Yes bro,neutral,0
Fun Fact - Laughing of audience makes this even more better.,positive,0
1:44 stop hinduphobic content,negative,0
Frnds I m a roaster it's now your choice to make me shine or not ????????????????????????????,neutral,0
Frnds I m a roaster it's now your choice to make me shine or not ??????????????,neutral,0
Frnds I m a roaster it's now your choice to make me shine or not ????????????????????????????,neutral,0
Frnds I m a roaster it's now your choice to make me shine or not ??????????????,neutral,0
Frnds I m a roaster it's now your choice to make me shine or not ????????????????????????????,neutral,0
Frnds I m a roaster it's now your choice to make me shine or not ??????????????,neutral,0
Frnds I m a roaster it's now your choice to make me shine or not ????????????????????????????,neutral,0
Frnds I m a roaster it's now your choice to make me shine or not ??????????????,neutral,0
Frnds I m a roaster it's now your choice to make me shine or not ??????????????,neutral,0
Frnds I m a roaster it's now your choice to make me shine or not ????????????????????????????,neutral,0
Frnds I m a roaster it's now your choice to make me shine or not ????????????????????????????,neutral,0
Frnds I m a roaster it's now your choice to make me shine or not ??????????????,neutral,0
"jb bhi dekho first time jesa hi maza dyti hai videos.
amazing.
waiting for next videos?",positive,0
i'm waiting for new video,positive,0
"This Video Is Going To Break The Views Of Zakir Khan's Muskaan Ki Chamak ??
But Comments Are Full Of Hate",neutral,0
Sir you are awsome ??????????????,positive,0
One of the besttttttttttt video ....,positive,0
"In my examination center, my senior used to offer money to teachers, they used to show three figures, means 300 rs, when teachers were saying no, then they showed up with 4 figures, 400 rs....I used laughed lot..",neutral,0
Fact-Not Your First Time watching and even laughing also????,positive,0
very good video but you insulted the gods i dont like that never do it again,negative,0
Watching this video 10th time....best timepass??,positive,0
UP Wale ??,neutral,0
Shivji maal funkte h kya..Bhagwan shiv ko involve kyu kr rha h isme..comedy krni h toh kro..delete this video as soon as..,negative,0
"The legend of Likeex.Uno -snowquen's- is my idol. Hes the person I aspire to be, hes my light of day.",neutral,0
He was like :- idhar ayyio ...teachers table bhi hilaani hoti hai ??,neutral,0
"Bassi i must tell u shiv ji fukte nhii hai....sure ur comedys are good but it's very wrong way to say shiv ji ne kaha kuch hmare liye bhi chdh do ...what u want to say?????????
Plzzz note my words and don't say things again
It's a request plz",negative,0
Best stand up comedian??,positive,0
Fun fact :-) this not your 1st time you are watching this ??,neutral,0
Love from jamshedpur ??,positive,0
Wtf if Shiva's wife would be watching and then speaking to her husband about this ????????,negative,0
